OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
3836124,04092110476,RIVER BEND ELEMENTARY CAFETERIA,6710 PERRY CREEK RD ,,RALEIGH,NC,27616,(919) 431-8010 ext. 25509,2008/12/03 05:00:00+00,Public School Lunchrooms,10760,-78.53592493,35.86466032,M,
3836125,04092015308,HILTON GARDEN INN RESTAURANT,6412 CAPITAL  BLVD ,,RALEIGH,NC,27616,(919) 876-5650,2008/12/19 05:00:00+00,Restaurant,10776,-78.5778899,35.87240049,M,
3836126,04092015299,SPRING KITCHEN,10110 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 462-1388,2008/12/05 05:00:00+00,Restaurant,10762,-78.90107972,35.82060442,M,
3836127,04092015315,THE FLYING BISCUIT CAFE,2016 CLARK AVE ,,RALEIGH,NC,27605,(919) 833-6924,2009/01/05 05:00:00+00,Restaurant,10793,-78.6602578,35.78996917,M,
3836128,04092015316,TASU,8919 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 544-8474,2009/01/05 05:00:00+00,Restaurant,10794,-78.79210026,35.89996606,M,
3836129,04092015319,Wang's Bistro,877-405 E GANNON AVE ,,ZEBULON,NC,27597,(919) 269-9788,2009/01/06 05:00:00+00,Restaurant,10798,-78.29418632,35.83016256,M,
3836130,04092015320,LA COCINA #6,1221 TIMBER DR E ,,GARNER,NC,27529,(919) 772-6999,2009/01/09 05:00:00+00,Restaurant,10799,-78.57544624,35.68894411,M,
3836131,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,10800,-78.64931998,35.78886217,M,
3836132,04092015322,SUBWAY #12786,3940 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 828-6518,2009/01/13 05:00:00+00,Restaurant,10814,-78.69349029,35.78458793,M,
3836133,04092015328,KOBE HIBACHI & SUSHI,515 N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 557-1437,2009/01/29 05:00:00+00,Restaurant,10823,-78.83686967,35.65965929,M,
3836134,04092160067,FALLS RIVER VILLAGE (FOOD SERVICE),1110  FALLS RIVER AVE ,,RALEIGH,NC,27614,(919) 844-9747,2009/01/29 05:00:00+00,Institutional Food Service,10843,-78.5873449,35.90599723,M,
3836135,04092160068,FALLS RIVER COURT (FOOD SERVICE),1130 FALLS RIVER  AVE ,,RALEIGH,NC,27614,(919) 844-2499,2009/01/29 05:00:00+00,Institutional Food Service,10844,-78.58705589,35.90683389,M,
3836136,04092015336,LOS TRES MAGUEYES,401 WAKE CHAPEL RD ,,FUQUAY VARINA,NC,27526,(919) 552-3957,2009/02/06 05:00:00+00,Restaurant,10850,-78.8000676,35.59072588,M,
3836137,04092160069,ZEBULON HOUSE (KITCHEN),551 PONY RD ,,ZEBULON,NC,27597,(919) 269-6061,2009/02/18 05:00:00+00,Institutional Food Service,10856,-78.33214073,35.81678007,M,
3836138,04092110477,CHARLES BUGG CAFETERIA,825 COOPER ST ,,RALEIGH,NC,27610,,2009/02/26 05:00:00+00,Public School Lunchrooms,10864,-78.58616915,35.76520076,M,
3836139,04092021562,LOWES FOODS #239 PRODUCE,932 GATEWAY COMMONS  CIR ,,WAKE FOREST,NC,27587,(919) 554-0537,2009/03/03 05:00:00+00,Food Stand,10866,-78.49517643,35.96733271,M,
3836140,04092021564,LOWES FOODS #239 DELI,932 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(919) 554-0537,2009/03/03 05:00:00+00,Food Stand,10868,-78.49517643,35.96733271,M,
3836141,04092015349,GENKI RESTAURANT & SUSHI BAR,3420 TEN TEN RD ,Suit 314,CARY,NC,27518,(919) 363-6636,2009/03/04 05:00:00+00,Restaurant,10877,-78.79278394,35.70189503,M,
3836142,04092015352,HOLIDAY INN EXPRESS Foodservice,1014 AIRPORT  BLVD ,,MORRISVILLE,NC,27560,(919) 653-2260,2009/03/06 05:00:00+00,Restaurant,10889,-78.81827567,35.85781916,M,
3836143,04092015356,CHUBBY'S TACOS,2444 Wycliff RD ,,RALEIGH,NC,27607,(919) 781-4480,2009/03/13 04:00:00+00,Restaurant,10894,-78.69299571,35.81676957,M,
3836144,04092015353,HIBACHI JAPAN #2,4001 WAKE FOREST  RD ,,RALEIGH,NC,27609,(919) 878-8880,2009/03/09 04:00:00+00,Restaurant,10890,-78.61511107,35.83620957,M,
3836145,04092030207,TACOS CAMPA (WCID #353),18 W THIRD ST ,,WENDELL,NC,27591,(919) 365-0069,2009/03/13 04:00:00+00,Mobile Food Units,10901,-78.37068381,35.78150866,M,
3836146,04092015361,MELLOW MUSHROOM,2125 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 556-8884,2009/03/24 04:00:00+00,Restaurant,10907,-78.53549684,35.94710013,M,
3836147,04092015367,La Terraza,2217 AVENT FERRY RD ,,RALEIGH,NC,27606,(919) 832-0293,2009/04/03 04:00:00+00,Restaurant,10914,-78.67605304,35.77835842,M,
3836148,04092110478,EAST WAKE HIGH SCHOOL,5101 ROLESVILLE RD ,,WENDELL,NC,27591,(919) 365-2625 ext. 24192,2009/04/02 04:00:00+00,Public School Lunchrooms,10917,-78.42429805,35.81293598,M,
3836149,04092015369,BACKYARD BISTRO,1235 HURRICANE ALLEY WAY ,,RALEIGH,NC,27607,(919) 851-6203,2009/04/09 04:00:00+00,Restaurant,10916,-78.72554803,35.79896875,M,
3836150,04092015379,LA MEXICANITA #2,225 N ARENDELL AVE ,,ZEBULON,NC,27597-2603,(919) 269-2236,2009/03/03 05:00:00+00,Restaurant,10923,-78.31406108,35.82272831,M,
3836151,04092015380,CROSSROADS STADIUM 20 UNIT #1874,501 CAITBOO AVE ,,CARY,NC,27518,(919) 816-0220,2009/04/13 04:00:00+00,Restaurant,10924,-78.73520486,35.75834301,M,
3836152,04092015371,SPIRITS PUB & GRUB,701 E CHATHAM ST ,,CARY,NC,27511,(919) 462-7001,2009/04/07 04:00:00+00,Restaurant,10925,-78.76531594,35.79216551,M,
3836153,04092015374,Shane's Rib Shack #55,5811 POYNER VILLAGE PKY ,SUITE 101,RALEIGH,NC,27616,(919) 850-9900,2009/04/15 04:00:00+00,Restaurant,10928,-78.56916558,35.86464073,M,
3836154,04092015381,BEAVER CREEK CINEMAS 12,1441 Beaver Creek Commons DR,,APEX,NC,27502,(919) 362-7342,2009/04/13 04:00:00+00,Restaurant,10934,-78.8825619,35.74574202,M,
3836155,04092015378,Snoopy's Hot Dogs And More,2431-161 SPRING FOREST RD ,,RALEIGH,NC,27615,(919) 876-3775,2009/04/17 04:00:00+00,Restaurant,10932,-78.59794707,35.86142765,M,
3836156,04092015383,WHITE OAK STADIUM 14,1205 Timber DR E,,GARNER,NC,27529,(919) 779-7499,2009/04/17 04:00:00+00,Restaurant,10936,-78.57456433,35.68908894,M,
3836157,04092160070,SUNRISE OF CARY FOODSERVICE,1206 W CHATHAM ST ,,CARY,NC,27513,(919) 462-9147,2009/04/16 04:00:00+00,Institutional Food Service,10942,-78.80900084,35.7715916,M,
3836158,04092110479,LAKE MYRA ELEMENTARY CAFETERIA,1300 ELK FALLS  DR ,,WENDELL,NC,27591,(919) 365-8990 ext. 25404,2009/04/24 04:00:00+00,Public School Lunchrooms,10944,-78.42971513,35.76143766,M,
3836159,04092021567,HARRIS TEETER #367 DELI,14520 JOHN REX BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 04:00:00+00,Food Stand,10961,-78.54282166,35.9470013,M,
3836160,04092021568,HARRIS TEETER #367 PRODUCE,14520 JOHN REX BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 04:00:00+00,Food Stand,10962,-78.54282166,35.9470013,M,
3836161,04092021569,HARRIS TEETER #367 MEAT/SEAFOOD,14520 JOHN REX  BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 04:00:00+00,Food Stand,10963,-78.54282166,35.9470013,M,
3836162,04092110481,HERBERT AKINS ELEMENTARY LUNCHROOM,2255 HERBERT AKINS RD ,,FUQUAY VARINA,NC,27526,(919) 567-4120,2009/06/09 04:00:00+00,Public School Lunchrooms,11007,-78.80360244,35.62112846,M,
3836163,04092021574,WALMART SUPERCENTER #4250 DELI,1001 SHILOH GLENN  DR ,,MORRISVILLE,NC,27560,(919) 474-2285,2009/06/16 04:00:00+00,Food Stand,11005,-78.84693216,35.86659382,M,
3836164,04092015415,GRAVY,135 S WILMINGTON ST ,,RALEIGH,NC,27601,(919) 896-8513,2009/06/08 04:00:00+00,Restaurant,11011,-78.6379868,35.77853917,M,
3836165,04092015421,QUALITY INN FOOD SERVICE,511 N JUDD PKY NE ,,FUQUAY VARINA,NC,27526,(919) 557-2009,2009/06/16 04:00:00+00,Restaurant,11017,-78.78040495,35.59061005,M,
3836166,04092015422,SHUCKERS OYSTER BAR & GRILL,3309 ROGERS RD ,STE 245,WAKE FOREST,NC,27587,(919) 602-8011,2009/06/02 04:00:00+00,Restaurant,11018,-78.51539151,35.95074547,M,
3836167,04092021575,THE CRESCENT,8003 REGENCY PKY ,,CARY,NC,27518,(919) 450-8310,2009/07/15 04:00:00+00,Food Stand,11051,-78.79540992,35.72902885,M,
3836168,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 04:00:00+00,Restaurant,11063,-78.64623698,35.72377502,M,
3836169,04092110482,EAST MILLBROOK MIDDLE SCHOOL CAFETERIA,3801 SPRING FOREST RD ,,RALEIGH,NC,27616,(919) 850-8755 ext. 27354,2009/08/14 04:00:00+00,Public School Lunchrooms,11078,-78.57481556,35.85784774,M,
3836170,04092110483,Smith Magnet Elementary School Cafeteria,1101 MAXWELL DR ,,RALEIGH,NC,27603,(919) 662-2465,2009/08/14 04:00:00+00,Public School Lunchrooms,11079,-78.6533898,35.71157128,M,
3836171,04092110484,HERITAGE HIGH SCHOOL CAFETERIA,1150 FORESTVILLE RD ,,WAKE FOREST,NC,27587,(919) 570-5600 ext. 20633,2009/08/17 04:00:00+00,Public School Lunchrooms,11080,-78.51100217,35.94014322,M,
3836172,04092015459,C & T WOK CHINESE AND THAI CUISINE,130 MORRISVILLE SQUARE WAY ,,MORRISVILLE,NC,27560,(919) 467-8860,2009/09/10 04:00:00+00,Restaurant,11109,-78.82897767,35.819515,M,
3836173,04092015460,NEW CHINA KING RESTAURANT,1811 NEW HOPE CHURCH RD,,RALEIGH,NC,27609-6288,(919) 873-1256,2009/09/15 04:00:00+00,Restaurant,11111,-78.60815223,35.83603982,M,
3836174,04092015436,KFC/Taco Bell #118,7108  GB Alford HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-3801,2009/07/17 04:00:00+00,Restaurant,11050,-78.83081276,35.6357982,M,
3836175,04092015530,SUBWAY #3726,12233 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 556-8622,2009/12/11 05:00:00+00,Restaurant,11136,-78.54097708,35.98087662,M,
3836176,04092015532,CRAZY FIRE MONGOLIAN GRILL,3611 SPRING FOREST RD ,STE. 100,RALEIGH,NC,27616,(919) 872-3575,2009/12/16 05:00:00+00,Restaurant,11138,-78.57981065,35.85591308,M,
3836177,04092015569,SHANGHAI EXPRESS,2502 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 754-9797,2010/02/12 05:00:00+00,Restaurant,11149,-78.66817897,35.78802467,M,
3836178,04092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,STE 105,RALEIGH,NC,27614,(919) 554-0508,2010/01/05 05:00:00+00,Restaurant,11143,-78.55982173,35.94075522,M,
3836179,04092015580,China Pearl Chinese Restaurant,2841 Jones Franklin RD ,,RALEIGH,NC,27606,(919) 851-0358,2010/03/17 04:00:00+00,Restaurant,11154,-78.7377362,35.74360868,M,
3836180,04092015586,Wells Fargo Cafe,1100 Corporate Center DR ,,RALEIGH,NC,27607-5066,(919) 852-7720,2010/03/29 04:00:00+00,Restaurant,11157,-78.73483602,35.80060633,M,
3836181,04092015603,WAFFLE HOUSE #1090,1006 AIRPORT BLVD ,,MORRISVILLE,NC,27560-9195,(919) 460-0388,2010/04/19 04:00:00+00,Restaurant,11161,-78.81924308,35.85853032,M,
3836182,04092015606,WAFFLE HOUSE #1161,3703 NEW BERN AVE ,,RALEIGH,NC,27610,(919) 231-1292,2010/04/23 04:00:00+00,Restaurant,11164,-78.57689448,35.7982395,M,
3836183,04092015605,WAFFLE HOUSE #1279,7605 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-4112,2010/04/23 04:00:00+00,Restaurant,11163,-78.47367578,35.80004791,M,
3836184,04092015610,WAFFLE HOUSE #1302,1417 E WILLIAMS ST ,,APEX,NC,27539-7700,(919) 363-9137,2010/04/28 04:00:00+00,Restaurant,11166,-78.83789634,35.71142477,M,
3836185,04092015611,WAFFLE HOUSE #351,1724 WALNUT ST ,,CARY,NC,27511,(919) 467-5950,2010/04/28 04:00:00+00,Restaurant,11167,-78.74679669,35.76260826,M,
3836186,04092015656,ON THE BORDER,1102 WALNUT ST ,,CARY,NC,27511-4735,(919) 439-5030,2010/06/30 04:00:00+00,Restaurant,11181,-78.76331735,35.77087984,M,
3836187,04092015648,JAMAICAN GRILLE,5500 Atlantic Springs  RD ,STE 109,RALEIGH,NC,27616,(919) 873-0200,2010/06/18 04:00:00+00,Restaurant,11179,-78.59668816,35.85752173,M,
3836188,04092015676,ROADRUNNERS PIZZA,8420-120 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 266-7606,2010/07/23 04:00:00+00,Restaurant,11187,-78.50931118,35.89359506,M,
3836189,04092015690,PANDA WOK,8521  CANTILEVER WAY ,Ste 105,RALEIGH,NC,27613,(919) 792-2588,2010/08/12 04:00:00+00,Restaurant,11189,-78.73779336,35.88567515,M,
3836190,04092015718,NEW WHITE OAK GRILL & LOUNGE,7901 WHITE OAK  RD ,,GARNER,NC,27529,(919) 779-0710,2010/09/30 04:00:00+00,Restaurant,11198,-78.57505891,35.67216828,M,
3836191,04092015704,#1 CHINA WOK,942 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(919) 570-1688,2010/08/30 04:00:00+00,Restaurant,11192,-78.49517643,35.96733271,M,
3836192,04092110485,LACY ELEMENTARY CAFETERIA,2001 LAKE BOONE  TRL ,,RALEIGH,NC,27607,(919) 881-4920 ext. 23387,2009/08/14 04:00:00+00,Public School Lunchrooms,11208,-78.68073704,35.814224,M,
3836193,04092015453,HIBACHI GRILL & SUPREME BUFFET,3131 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 878-5888,2009/08/20 04:00:00+00,Restaurant,11212,-78.59044224,35.82314249,M,
3836194,04092015457,LOS TRES MAGUEYES,10410 MONCREIFFE  RD ,STE 109,RALEIGH,NC,27610,(919) 484-9258,2009/08/27 04:00:00+00,Restaurant,11216,-78.79210026,35.89996606,M,
3836195,04092015456,QDOBA MEXICAN GRILL #612,210A HINTON OAKS BLVD ,,KNIGHTDALE,NC,27545,(919) 217-4690,2009/08/27 04:00:00+00,Restaurant,11215,-78.51259235,35.79763599,M,
3836196,04092300242,DON JUAN MEAT MARKET,4005-103 NEW BERN AVE ,,RALEIGH,NC,27610,(919) 255-3301,2009/09/09 04:00:00+00,Meat Market,11224,-78.56768807,35.79961557,M,
3836197,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,11232,-78.83920975,35.63987629,M,
3836198,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,11233,-78.83920975,35.63987629,M,
3836199,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 04:00:00+00,Meat Market,11234,-78.83920975,35.63987629,M,
3836200,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-8112,2009/09/24 04:00:00+00,Restaurant,11247,-78.65307122,35.72039952,M,
3836201,04092110486,ROOT ELEMENTARY CAFETERIA,3202 NORTHAMPTON ST ,,RALEIGH,NC,27609,(919) 881-4940,2009/09/14 04:00:00+00,Public School Lunchrooms,11238,-78.65044006,35.82537533,M,
3836202,04092021586,HARRIS TEETER #331 MEAT/SEAFOOD,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 04:00:00+00,Food Stand,11259,-78.79278394,35.70189503,M,
3836203,04092021585,HARRIS TEETER #331 DELI/BAKERY,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 04:00:00+00,Food Stand,11260,-78.79278394,35.70189503,M,
3836204,04092021584,HARRIS TEETER #331 PRODUCE,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 04:00:00+00,Food Stand,11261,-78.79278394,35.70189503,M,
3836205,04092021589,WALMART DELI #3889,3151 APEX PEAKWAY ,,APEX,NC,27502,(919) 362-3737,2009/10/05 04:00:00+00,Food Stand,11286,-78.84319532,35.71473786,M,
3836206,04092015490,SPINNERS BAR & GRILL AT FOUR POINTS,1200 CLAREN CIR ,,MORRISVILLE,NC,27560,(919) 380-1221,2009/10/14 04:00:00+00,Restaurant,11294,-78.82296134,35.85503958,M,
3836207,04092015485,AVIATOR BREWING TAP HOUSE,600 E BROAD ST ,,FUQUAY VARINA,NC,27526,(919) 552-8826,2009/10/07 04:00:00+00,Restaurant,11289,-78.79392968,35.59278922,M,
3836208,04092015493,ZAYKA INDIAN CUISINE,10410-103 MONCREIFFE  RD ,,RALEIGH,NC,27617,(919) 361-5370,2009/10/22 04:00:00+00,Restaurant,11297,-78.79210026,35.89996606,M,
3836209,04092015496,PARK BAR & GRILL (DoubleTree By Hilton),500 CAITBOO AVE ,,CARY,NC,27518,(919) 900-8840,2009/10/26 04:00:00+00,Restaurant,11299,-78.73611827,35.75670594,M,
3836210,04092015501,Kick Back Jack's,1405 GARNER STATION  BLVD ,,GARNER,NC,27529,(919) 803-5068,2009/10/23 04:00:00+00,Restaurant,11304,-78.6523773,35.72437568,M,
3836211,04092021594,PIZZA EXPRESS ,2121 POOLE RD ,,RALEIGH,NC,27610,(919) 231-8882,2009/10/30 04:00:00+00,Food Stand,11310,-78.60848657,35.77599142,M,
3836212,04092021592,ALMADINA SUPERMARKET,1019 METHOD RD ,,RALEIGH,NC,27606,(919) 755-6220,2009/10/29 04:00:00+00,Food Stand,11305,-78.69350379,35.78486525,M,
3836213,04092110487,ALSTON RIDGE ELEMENTARY SCHOOL CAFETERIA,11555 GREEN LEVEL CHURCH  RD ,,CARY,NC,27519,(919) 544-2474 ext. 20151,2009/11/13 05:00:00+00,Public School Lunchrooms,11328,-78.89958947,35.859216,M,
3836214,04092021597,SHISH KABOB CITY PLAZA,438 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 833-4005,2009/11/20 05:00:00+00,Food Stand,11331,-78.63936489,35.77440851,M,
3836215,04092015521,NOODLES & COMPANY,200 CROSSROADS  BLVD ,STE 110,CARY,NC,27518,(919) 851-5080,2009/11/02 05:00:00+00,Restaurant,11332,-78.74109703,35.76025118,M,
3836216,04092015523,Bocci Trattoria & Pizzeria,2425 Kildaire Farm RD ,Ste 201,CARY,NC,27518,(919) 803-5358,2009/11/19 05:00:00+00,Restaurant,11334,-78.77660652,35.72829269,M,
3836217,04092021598,Jimmy John's #1025,437 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 754-0101,2009/12/01 05:00:00+00,Food Stand,11336,-78.63936489,35.77440851,M,
3836218,04092160074,TRANSITIONS LIFECARE,200 HOSPICE CIR ,,RALEIGH,NC,27607,(919) 828-8514,2009/12/14 05:00:00+00,Institutional Food Service,11345,-78.74158227,35.80732092,M,
3836219,04092160073,HEARTFIELDS AT CARY FOODSERVICE,1050 CRESCENT GREEN DR ,,CARY,NC,27518,(919) 852-5757,2009/11/30 05:00:00+00,Institutional Food Service,11344,-78.77956668,35.7335116,M,
3836220,04092015537,IHOP,1301 KILDAIRE FARM RD ,,CARY,NC,27511,(919) 469-1835,2009/12/11 05:00:00+00,Restaurant,11350,-78.78262718,35.76147493,M,
3836221,04092015545,Jimmy John's #1026,2904-106 Wake Forest  RD ,,RALEIGH,NC,27609,(919) 836-0404,2009/12/16 05:00:00+00,Restaurant,11364,-78.62209482,35.82015424,M,
3836222,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 844-6496,2009/12/30 05:00:00+00,Private School Lunchrooms,11377,-78.62608639,35.88760898,M,
3836223,04092015548,Rudinos's Pizza & Grinders Sports Corner,3101-101 EDWARDS MILL RD ,,RALEIGH,NC,27612,(919) 786-4235,2009/12/30 05:00:00+00,Restaurant,11379,-78.70695545,35.82544758,M,
3836224,04092030216,TAQUERIA EL CALENTANO (WCID #623),201 Rush ST ,Fri. Sat. Sun. ,RALEIGH,NC,27604,(919) 232-7628,2010/01/19 05:00:00+00,Mobile Food Units,11411,-78.64051802,35.74268206,M,
3836225,04092015562,NANTUCKET GRILL,1145  FALLS RIVER AVE ,,RALEIGH,NC,27614,(919) 870-1955,2010/01/14 05:00:00+00,Restaurant,11413,-78.58877607,35.90718422,M,
3836226,04092110480,WENDELL MIDDLE SCHOOL CAFETERIA,3407 NC HWY 97 ,,WENDELL,NC,27591,(919) 365-1667 ext. 25316,2009/05/05 04:00:00+00,Public School Lunchrooms,10965,-78.39527119,35.8053409,M,
3836227,04092015549,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 481-3811,2009/12/31 05:00:00+00,Restaurant,11380,-78.78057485,35.80470293,M,
3836228,04092015563,HOLIDAY INN EXPRESS HOTEL & SUITES BREAKFAST,3741 THISTLE DOWN  DR ,,RALEIGH,NC,27606,(919) 854-0001,2010/01/19 05:00:00+00,Restaurant,11414,-78.69949471,35.75440001,M,
3836229,04092015567,MY WAY TAVERN,301  W CENTER ST ,,HOLLY SPRINGS,NC,27540,(919) 285-2142,2010/01/29 05:00:00+00,Restaurant,11418,-78.83406226,35.65096454,M,
3836230,04092015568,HARRIS TEETER #422 DELI,120-100 ST ALBANS  DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Restaurant,11419,-78.63883981,35.83739883,M,
3836231,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,11421,-78.63883981,35.83739883,M,
3836232,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,11422,-78.63883981,35.83739883,M,
3836233,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 05:00:00+00,Food Stand,11423,-78.78213151,35.76273552,M,
3836234,04092015574,Thai Thai Cuisine,108 Osterville DR ,,HOLLY SPRINGS,NC,27540,(919) 303-5700,2010/02/16 05:00:00+00,Restaurant,11432,-78.83224417,35.67779295,M,
3836235,04092021607,QUE HUONG ORIENTAL MARKET,3312 CAPITAL  BLVD ,,RALEIGH,NC,27604,(919) 790-5325,2010/02/16 05:00:00+00,Food Stand,11435,-78.5854729,35.82439324,M,
3836236,04092015577,AMEDEO'S,3905 WESTERN  BLVD ,,RALEIGH,NC,27606,,2010/03/04 05:00:00+00,Restaurant,11441,-78.69045628,35.78405475,M,
3836237,04092015578,CANTINA 18,433  DANIELS  ST ,,RALEIGH,NC,27605,(919) 835-9911,2010/03/04 05:00:00+00,Restaurant,11442,-78.66157289,35.79001283,M,
3836238,04092015575,TRIBECA TAVERN,500 LEDGESTONE WAY ,,CARY,NC,27519,(919) 465-3055,2010/02/19 05:00:00+00,Restaurant,11439,-78.84803883,35.79230834,M,
3836239,04092015597,HOT BREADS CAFE,1901  NW CARY PKY ,,MORRISVILLE,NC,27560,(919) 677-1331,2010/04/05 04:00:00+00,Restaurant,11476,-78.81047275,35.80912908,M,
3836240,04092015601,STAMMTISCH CAFE,215 GREGSON DR ,,CARY,NC,27511,(919) 461-6033,2010/03/26 04:00:00+00,Restaurant,11480,-78.80333201,35.73531135,M,
3836241,04092021609,Kicker's Kitchen,201 SOCCER PARK  DR ,,CARY,NC,27513,(919) 452-8931,2010/03/19 04:00:00+00,Food Stand,11482,-78.7543031,35.78579334,M,
3836242,04092110490,HOLLY GROVE MIDDLE SCHOOL CAFETERIA,1401  AVENT FERRY RD ,,HOLLY SPRINGS ,NC,27540,(919) 567-4177 ext. 20481,2010/03/30 04:00:00+00,Public School Lunchrooms,11485,-78.84882309,35.62890395,M,
3836243,04092015607,IL BACIO,3622 ROGERS RD ,,WAKE FOREST,NC,27587,(919) 556-7800,2010/04/09 04:00:00+00,Restaurant,11486,-78.50482784,35.94464405,M,
3836244,04092015618,HIBACHI 101,7870 ALEXANDER PROMENADE PL ,,RALEIGH,NC,27617,(919) 569-2888,2010/04/22 04:00:00+00,Restaurant,11503,-78.77695584,35.91424048,M,
3836245,04092015619,RAINBOW KING,12520 CAPITAL BLVD ,,WAKE FOREST,NC,27587,(919) 554-8888,2010/04/26 04:00:00+00,Restaurant,11504,-78.53270457,35.98593529,M,
3836246,04092015625,Bojangles #42,840 E Chatham ST ,,CARY,NC,27511,(919) 467-7030,2010/04/19 04:00:00+00,Restaurant,11520,-78.76021378,35.79096843,M,
3836247,04092110491,MILLS PARK MIDDLE SCHOOL CAFETERIA,441 MILLS PARK DR ,,CARY,NC,27519,(919) 466-1500 ext. 20820,2010/04/23 04:00:00+00,Public School Lunchrooms,11533,-78.8960819,35.81195542,M,
3836248,04092015636,WALTONWOOD AT CARY DINING,750 SE CARY PKY ,,CARY,NC,27511,(919) 460-7330,2010/05/14 04:00:00+00,Restaurant,11543,-78.77481851,35.74902684,M,
3836249,04092015638,BRUNO,11211  GALLERIA  AVE ,,RALEIGH,NC,27614,(919) 435-6640,2010/05/26 04:00:00+00,Restaurant,11546,-78.54331275,35.94865663,M,
3836250,04092015640,Sam's Club #6570 Snackbar,3001 CALVARY  DR ,,RALEIGH,NC,27604,(919) 874-0112,2010/05/28 04:00:00+00,Restaurant,11548,-78.58500532,35.84648891,M,
3836251,04092015630,RIVER PUB,10940 RAVEN RIDGE  RD ,STE 104,RALEIGH,NC,27614,(919) 900-8302,2010/05/11 04:00:00+00,Restaurant,11525,-78.59009764,35.90790481,M,
3836252,04092021613,"SALTWATER SEAFOOD, LLC",4 FENTON ST ,,RALEIGH,NC,27604,(919) 834-1813,2010/05/25 04:00:00+00,Food Stand,11564,-78.62094723,35.80309992,M,
3836253,04092015642,EMBASSY SUITES AND FLYING SPOONS,8001 ARCO CORPORATE  DR ,,RALEIGH,NC,27617,(919) 572-2200,2010/06/02 04:00:00+00,Restaurant,11550,-78.77639968,35.90726649,M,
3836254,04092015649,CAPITAL CLUB 16 RESTAURANT & BAR,16 W MARTIN  ST ,STE 105,RALEIGH,NC,27601,(919) 747-9345,2010/06/10 04:00:00+00,Restaurant,11567,-78.64002239,35.77714426,M,
3836255,04092015654,Craft Public House,1040 TRYON VILLAGE DR ,STE 601,CARY,NC,27518,(919) 851-9173,2010/05/04 04:00:00+00,Restaurant,11573,-78.7446922,35.74631027,M,
