OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2025775,04092110100,Weatherstone Elem. Sch. Cafeteria,1000 Olde Weatherstone Way ,,CARY,NC,27513,(919) 380-6985,1995/09/05 04:00:00+00,Public School Lunchrooms,6064,-78.81014089,35.7924439,M
2025776,04092013346,BROOKDALE OF NORTH RALEIGH FOOD SERVICE,1200 Carlos Dr ,,RALEIGH,NC,27609,(919) 334-2222,2001/07/05 04:00:00+00,Restaurant,6072,-78.61847832,35.86397289,M
2025777,04092013354,Abbotswood Assisted Living Dining Services,7900 CREEDMOOR RD,,RALEIGH,NC,27613-4382,(919) 847-3202,2001/07/06 04:00:00+00,Restaurant,6074,-78.67950967,35.89545367,M
2025778,04092300179,Food Lion #624 Meat Market ,2458 SW CARY PKY ,,CARY,NC,27513-5318,(919) 481-1822,2000/07/01 04:00:00+00,Meat Market,6079,-78.82085718,35.76363975,M
2025779,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 05:00:00+00,Restaurant,6085,-78.78197965,35.59136738,M
2025780,04092013297,Willow Creek Exxon,1133 OLD HONEYCUTT RD ,,FUQUAY VARINA,NC,27526-8923,(919) 577-6361,2001/03/08 05:00:00+00,Restaurant,6086,-78.75761891,35.58333571,M
2025781,04092025273,Harris Teeter #496 Produce,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 04:00:00+00,Food Stand,6092,-78.82197042,35.74562504,M
2025782,04092018468,PURE JUICERY,716 Slash Pine DR ,,CARY,NC,27519,(919) 234-1572,2020/10/22 04:00:00+00,Restaurant,6097,-78.90892711,35.83075427,M
2025783,04092015882,TAQUERIA LA CABANA,3520 CAPITAL BLVD ,,RALEIGH,NC,27609,(919) 872-2252,2011/02/01 05:00:00+00,Restaurant,6099,-78.58408386,35.82807152,M
2025784,04092021987,H Mart SDG Tofu House,1961 High House RD ,,CARY,NC,27519,(919) 535-5900,2016/12/22 05:00:00+00,Food Stand,6104,-78.84865444,35.78921622,M
2025785,04092017490,Jasmin & Olivz Mediterranean,9934 CHAPEL HILL RD ,,CARY,NC,27513,(919) 234-6900,2016/12/19 05:00:00+00,Restaurant,6090,0,0,U
2025786,04092014115,Sam's Club #8223 Cafe,2537 S Saunders St,,RALEIGH,NC,27603,(919) 839-1700,2004/08/24 04:00:00+00,Restaurant,6108,-78.64662127,35.75036941,M
2025787,04092090006,Elderly Nutrition Center Tucker St,616 TUCKER ST,,RALEIGH,NC,27603-1232,(919) 832-2592,1991/03/18 04:00:00+00,Elderly Nutrition Sites (catered),6122,-78.64835327,35.7866325,M
2025788,04092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7810 ext. 23266,1991/09/16 04:00:00+00,Public School Lunchrooms,6173,-78.65350233,35.79075859,M
2025789,04092110005,Farmington Woods Elem. Cafeteria,1413 HAMPTON VALLEY RD ,,CARY,NC,27511-4548,(919) 460-3476,1991/09/17 04:00:00+00,Public School Lunchrooms,6177,-78.77460084,35.7579383,M
2025790,04092110082,Penny Road Elementary Cafeteria,10900 PENNY RD ,,CARY,NC,27518,(919) 387-2143,1991/09/16 04:00:00+00,Public School Lunchrooms,6179,-78.7974133,35.71747138,M
2025791,04092014665,Zaxby's Restaurant,4150 FAYETTEVILLE RD,,RALEIGH,NC,27603-3606,(919) 661-7772,2006/08/22 04:00:00+00,Restaurant,6218,-78.65280432,35.72361266,M
2025792,04092016583,THE CORNER TAVERN & GRILL,1301 NW MAYNARD  RD ,,CARY,NC,27513,(919) 460-0088,2013/12/19 05:00:00+00,Restaurant,6219,-78.81098892,35.78581105,M
2025793,04092025206,Keim Center (Ravenscroft School),7409 Falls of Neuse RD ,,RALEIGH,NC,27615,,2018/08/24 04:00:00+00,Food Stand,6220,-78.63135227,35.88450956,M
2025794,04092016439,RANDY'S PIZZA,2458 WYCLIFF RD ,,RALEIGH,NC,27607,(919) 322-5990,2013/05/31 04:00:00+00,Restaurant,6251,-78.692995,35.81676997,M
2025795,04092015915,SUBWAY #50592,601 N MAIN ST ,,HOLLY SPRINGS,NC,27545,(919) 557-4411,2011/03/17 04:00:00+00,Restaurant,6264,-78.83661982,35.66097455,M
2025796,04092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,,RALEIGH,NC,27604,(984) 232-8907,2014/11/10 05:00:00+00,Restaurant,6266,-78.64011364,35.78945486,M
2025797,04092021402,Harris Teeter #283 Deli ,8101 Fayetteville RD ,,FUQUAY VARINA,NC,27603,(919) 772-0241,2006/08/16 04:00:00+00,Food Stand,6221,-78.70123204,35.66365888,M
2025798,04092021399,Harris Teeter #138 Meat/Seafood,98 Cornerstone DR ,,CARY,NC,27519,(919) 467-1259,2006/09/05 04:00:00+00,Food Stand,6272,-78.85187583,35.79044843,M
2025799,04092018620,BAPS Shri temple Kitchen,1020 AVIATION PKWY,,MORRISVILLE,NC,27560,(919) 469-6605,2021/05/10 04:00:00+00,Restaurant,6273,-78.8083906,35.83913731,M
2025800,04092018369,High Top Burger,2330-112 BALE ST,,RALEIGH,NC,27608,(984) 200-6521,2020/06/11 04:00:00+00,Restaurant,6248,-78.62772121,35.81322416,M
2025801,04092160058,BROOKDALE WAKE FOREST DINING,611 S Brooks ST,,WAKE FOREST,NC,27587,(919) 562-8400,2006/09/05 04:00:00+00,Institutional Food Service,6278,-78.5098293,35.97161717,M
2025802,04092014553,KFC/Taco Bell #J120104,1011 N Harrison AVE,,CARY,NC,27513,(919) 467-6318,2006/04/21 04:00:00+00,Restaurant,6281,-78.78357999,35.80351274,M
2025803,04092110009,Baucom Elem. Sch. Cafeteria,400 HUNTER ST ,,APEX,NC,27502-1320,(919) 387-2175,1991/09/17 04:00:00+00,Public School Lunchrooms,6289,-78.85424336,35.73741961,M
2025804,04092016797,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 388-5355,2014/11/12 05:00:00+00,Restaurant,6316,-78.84052711,35.85506763,M
2025805,04092010490,Meredith College Dining Hall,3800 Hillsborough ST ,,RALEIGH,NC,27607-5237,(919) 760-8377,1991/03/19 04:00:00+00,Restaurant,6326,-78.68916347,35.79996371,M
2025806,04092012252,Jacks Seafood Restaurant,1516 NEW BERN AVE ,,RALEIGH,NC,27610-2536,(919) 755-1551,1998/06/02 04:00:00+00,Restaurant,6330,-78.61632038,35.7797367,M
2025807,04092018351,Tropical Smoothie Cafe,817 Bass Pro LN ,,CARY,NC,27513,(919) 378-9333,2020/04/22 04:00:00+00,Restaurant,6343,-78.77007317,35.83116175,M
2025808,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 04:00:00+00,Institutional Food Service,6309,-78.49437107,35.97212034,M
2025809,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 04:00:00+00,Restaurant,6356,-78.66105804,35.79149603,M
2025810,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 04:00:00+00,Restaurant,6361,-78.77115656,35.82699882,M
2025811,04092018273,PandyaNad,4325 GLENWOOD AVE,,RALEIGH,NC,27612,(919) 615-2063,2019/12/12 05:00:00+00,Food Stand,6369,-78.68184484,35.84183815,T
2025812,04092021649,HARRIS TEETER #353 PRODUCE,13686 CAPITAL  BLVD ,,WAKE FOREST,NC,27587,(919) 554-3608,2011/02/04 05:00:00+00,Food Stand,6370,-78.51867461,36.00548951,M
2025813,04092015610,WAFFLE HOUSE #1302,1417 E WILLIAMS ST ,,APEX,NC,27539-7700,(919) 363-9137,2010/04/28 04:00:00+00,Restaurant,6385,-78.83789587,35.71142555,M
2025814,04092018174,Farm House Cafe,320 Vintage Point LN ,,WENDELL,NC,27591,(919) 374-7227,2019/09/10 04:00:00+00,Restaurant,6387,-78.42877202,35.77122092,M
2025815,04092016641,DeM0'S PIZZERIA & DELI,222-121 GLENWOOD AVE ,,RALEIGH,NC,27613,(919) 754-1050,2014/03/13 04:00:00+00,Restaurant,6344,-78.64733509,35.78392897,M
2025816,04092021650,HARRIS TEETER #353 DELI,13686 CAPITAL BLVD ,,WAKE FOREST,NC,27587,(919) 554-3608,2011/02/04 05:00:00+00,Food Stand,6394,-78.51867461,36.00548951,M
2025817,04092018345,Olive Tree Market,270 Nottingham DR ,,CARY,NC,27511,(919) 481-0321,2020/04/08 04:00:00+00,Restaurant,6400,-78.74294825,35.7683548,M
2025818,04092010094,Buffaloe Lanes North Foodservice,5900 Oak Forest Dr,,RALEIGH,NC,27616-2903,(919) 876-5681,1991/05/02 04:00:00+00,Restaurant,6405,-78.58853366,35.86304841,M
2025819,04092013878,El Senor,2001 Widewater Pky ,,KNIGHTDALE,NC,27545,(919) 261-0808,2003/08/19 04:00:00+00,Restaurant,6414,-78.50515596,35.79511678,T
2025820,04092013910,Devils Ridge Golf Club,5107 Linksland Dr ,,HOLLY SPRINGS,NC,27540,(919) 557-6100,2003/10/10 04:00:00+00,Restaurant,6417,-78.80138378,35.65562891,M
2025821,04092018659,Jersey Mike's #3042,7949 Fayetteville  RD ,,RALEIGH,NC,27603,(919) 661-0111,2021/06/22 04:00:00+00,Restaurant,6441,-78.69742539,35.66508155,M
2025822,04092013475,Bojangles # 29,12109 Cloverleaf Dr,,WAKE FOREST,NC,27587-6516,(919) 554-2243,2001/12/14 05:00:00+00,Restaurant,6457,-78.54093466,35.97688776,M
2025823,04092014064,Holy Trinity Greek Orthodox Church Kitchen,5000 Lead Mine Rd ,,RALEIGH,NC,27612,(919) 781-4548,2004/06/02 04:00:00+00,Restaurant,6473,-78.67202741,35.84928971,M
2025824,04092021137,Lowes Foods #189 Produce ,3001 Widewaters Pky ,,KNIGHTDALE,NC,27545,(919) 217-9184,2002/08/28 04:00:00+00,Food Stand,6539,-78.50515596,35.79511678,M
2025825,04092016475,SONIC #5864,109 JONES FRANKLIN RD ,,RALEIGH,NC,27606,(919) 854-4602,2013/09/09 04:00:00+00,Restaurant,6553,-78.72125905,35.78415702,M
2025826,04092016685,DIM SUM HOUSE,100 JERUSALEM DR ,STE 104,MORRISVILLE,NC,27560,(919) 380-3087,2014/05/19 04:00:00+00,Restaurant,6556,-78.82707041,35.85102001,M
2025827,04092016565,Bojangles #49,9919 Fayetteville  ST ,,RALEIGH,NC,27603,(919) 557-6843,2013/11/12 05:00:00+00,Restaurant,6447,-78.71503303,35.63360138,M
2025828,04092011394,McDonald's # 13334,6213 FALLS OF NEUSE RD ,,RALEIGH,NC,27609-3505,(919) 878-0085,1993/11/29 05:00:00+00,Restaurant,6603,-78.62123228,35.8674499,M
2025829,04092017489,J. ALEXANDER'S,4600 CRABTREE VALLEY AVE ,,RALEIGH,NC,27612,(984) 200-4493,2016/12/07 05:00:00+00,Restaurant,6607,-78.68450309,35.84046562,M
2025830,04092016266,SKYE TOWER,320 HILLSBOROUGH ST ,,RALEIGH,NC,27603,(919) 832-0501,2012/09/28 04:00:00+00,Restaurant,6612,-78.64408007,35.78100117,M
2025831,04092050015,Cary Academy Cafeteria,1500 N HARRISON AVE ,,CARY,NC,27513-5549,(919) 228-4696,1997/09/15 04:00:00+00,Private School Lunchrooms,6634,-78.76821342,35.81996762,M
2025832,04092010133,Casa Carbone,6019-A Glenwood Ave ,,RALEIGH,NC,27612,(919) 781-8750,1991/05/03 04:00:00+00,Restaurant,6507,-78.70070149,35.85470632,M
2025833,04092110120,Wildwood Forest Elem. Sch. Cafeteria,8401 Wildwood Forest Dr ,,RALEIGH,NC,27616-5700,(919) 713-0600 ext. 24271,1999/08/13 04:00:00+00,Public School Lunchrooms,6637,-78.55112468,35.89352252,M
2025834,04092011309,Goodberry's Creamery,1407 Garner Station Blv,,RALEIGH,NC,27603,(919) 772-0205,1993/06/22 04:00:00+00,Restaurant,6601,-78.65163223,35.72484349,M
2025835,04092015549,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 481-3811,2009/12/31 05:00:00+00,Restaurant,6643,-78.7805746,35.804703,M
2025836,04092018032,TACO BELL #34556,4004 Capital BLVD ,,RALEIGH,NC,27604,(919) 872-9020,2019/01/18 05:00:00+00,Restaurant,6655,-78.58146313,35.83563234,M
2025837,04092015322,SUBWAY #12786,3940 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 828-6518,2009/01/13 05:00:00+00,Restaurant,6658,-78.69349102,35.78458356,M
2025838,04092018169,The Darby,170  E Davie ST ,,RALEIGH,NC,27601,(919) 389-7678,2019/09/05 04:00:00+00,Restaurant,6663,-78.63762576,35.77518054,M
2025839,04092018042,Bodega,110 S White ST ,,WAKE FOREST,NC,27587,(984) 235-4187,2019/01/25 05:00:00+00,Restaurant,6666,-78.50961846,35.97912263,M
2025840,04092025197,The Bowls @ MSFH,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 213-1008,2018/08/01 04:00:00+00,Food Stand,6669,-78.6456917,35.77945516,M
2025841,04092011061,Chick-fil-A,1815 WALNUT ST ,,CARY,NC,27511-9201,(919) 233-1691,1992/03/24 04:00:00+00,Restaurant,6678,-78.74236633,35.76001857,M
2025842,04092020232,Sandy Plain Mini Mart Grill,14833 CREEDMOOR RD ,,WAKE FOREST,NC,27587-8533,(919) 528-0292,1991/04/29 04:00:00+00,Food Stand,6704,-78.70017999,36.04951382,M
2025843,04092018370,Jonathan's Sports Lounge & Grill,3400 New Birch DR ,,RALEIGH,NC,27610,(919) 692-5095,2020/05/21 04:00:00+00,Restaurant,6713,-78.59862151,35.74660149,M
2025844,04092021843,Walnut Creek VIP Grill,3801 Rock Quarry RD ,,RALEIGH,NC,27610,(727) 481-1436,2015/04/13 04:00:00+00,Food Stand,6715,-78.57884845,35.7501844,M
2025845,04092016331,SUBWAY #55675,234 FAYETTEVILLE  ST ,,RALEIGH,NC,27601,(919) 615-2670,2012/12/21 05:00:00+00,Restaurant,6718,-78.63956988,35.77712711,M
2025846,04092010815,Wildwood Green Snack Bar,3000 Ballybunion Way ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 04:00:00+00,Restaurant,6735,-78.6857282,35.91006629,M
2025847,04092014946,Good Taste Chinese Restaurant,532 W Gannon AVE ,,ZEBULON,NC,27597,(919) 404-1218,2007/08/17 04:00:00+00,Restaurant,6753,-78.32626437,35.8212487,M
2025848,04092021586,HARRIS TEETER #331 MEAT/SEAFOOD,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 04:00:00+00,Food Stand,6775,-78.79278417,35.70189107,M
2025849,04092011958,Goodberry's Creamery,2325 Davis Dr ,,CARY,NC,27560,(919) 469-3350,1996/11/15 05:00:00+00,Restaurant,6783,-78.84745125,35.78961368,M
2025850,04092013943,St. Raphael Hall Foodservice,5801 Falls Of Neuse Rd ,,RALEIGH,NC,27609,(919) 865-5705,2003/12/01 05:00:00+00,Restaurant,6804,-78.61925176,35.85949781,M
2025851,04092025354,Mudcats Stand #4,1501 NC Hwy 39 ,,Zebulon,NC,27597,(919) 269-2287,2021/03/30 04:00:00+00,Food Stand,6778,-78.26879316,35.81734961,M
2025852,04092017724,Glory Days Grill,1413 Kelly RD ,,Apex,NC,27502,(919) 434-3726,2017/11/08 05:00:00+00,Restaurant,6830,-78.89379203,35.73782787,M
2025853,04092010845,42nd St Oyster Bar,508 W JONES ST ,,RALEIGH,NC,27603-1429,(919) 831-2811,1991/04/25 04:00:00+00,Restaurant,6835,-78.6463342,35.78313026,M
2025854,04092013705,UDUPI Cafe,590 E Chatham St ,,CARY,NC,27511,(919) 465-0898,2002/10/29 04:00:00+00,Restaurant,6859,-78.76832214,35.79037457,M
2025855,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 05:00:00+00,Restaurant,6862,-78.59121781,35.90586931,M
2025856,04092017723,SUSHI THAI CARY,106 KILMAYNE DR ,,CARY,NC,27511-4465,(919) 467-5747,2017/11/08 05:00:00+00,Restaurant,6876,-78.78304446,35.77049321,M
2025857,04092018121,Chido Taco,2330 BALE ST,,RALEIGH,NC,27608,(919) 594-1930,2019/06/27 04:00:00+00,Restaurant,6913,-78.62748278,35.81292611,M
2025858,04092018748,Iron Oaks Tap Room,3800 GLENWOOD AVE,Suite120,RALEIGH,NC,27612-4869,(727) 858-3557,2021/12/02 05:00:00+00,Restaurant,6917,-78.66651167,35.83176532,M
2025859,04092017228,Bogey's Bistro,2300 OLD MILBURNIE RD ,,RALEIGH,NC,27604-9778,(919) 428-0938,2016/05/25 04:00:00+00,Restaurant,6931,-78.51131358,35.81858285,M
2025860,04092110490,HOLLY GROVE MIDDLE SCHOOL CAFETERIA,1401  AVENT FERRY RD ,,HOLLY SPRINGS ,NC,27540,(919) 567-4177 ext. 20481,2010/03/30 04:00:00+00,Public School Lunchrooms,6935,-78.84882356,35.62890249,M
2025861,04092015421,QUALITY INN FOOD SERVICE,511 N JUDD PKY NE ,,FUQUAY VARINA,NC,27526,(919) 557-2009,2009/06/16 04:00:00+00,Restaurant,6936,-78.78040573,35.59061253,M
2025862,04092110012,Cary Senior High Cafeteria,638 WALNUT ST,,CARY,NC,27511-4224,(919) 460-3549 ext. 21834,1991/09/17 04:00:00+00,Public School Lunchrooms,6960,-78.76624925,35.7715075,M
2025863,04092020789,Domino's Pizza,4237-103 Louisburg RD ,,RALEIGH,NC,27604-4348,(919) 872-7222,1997/08/01 04:00:00+00,Food Stand,6955,-78.57731584,35.8413784,M
2025864,04092110101,Hodge Road Elementary Cafeteria,2128 Mingo Bluff Blvd,,KNIGHTDALE,NC,27545,(919) 266-8599 ext. 21541,1995/09/12 04:00:00+00,Public School Lunchrooms,6972,-78.52263224,35.77684379,M
2025865,04092011771,Barnes And Noble,760 SE Maynard Road ,,CARY,NC,27511,(919) 467-3866,1995/11/20 05:00:00+00,Restaurant,6974,-78.76212909,35.76995678,M
2025866,04092014085,HOOTERS,1001 CLAREN CIR ,,MORRISVILLE,NC,27560,(919) 469-2900,2004/07/13 04:00:00+00,Restaurant,6975,-78.82295551,35.85640624,M
2025867,04092110147,Knightdale High School Cafeteria,100 Bryan Chalk Ln ,,KNIGHTDALE,NC,27545,(919) 217-5350 ext. 25130,2004/07/26 04:00:00+00,Public School Lunchrooms,6978,-78.47681885,35.8105831,T
2025868,04092014123,New Wangs Kitchen,712 Laura Duncan RD ,,APEX,NC,27502,(919) 363-8030,2004/08/27 04:00:00+00,Restaurant,6981,-78.84201223,35.73509961,M
2025869,04092018211,Town Hall Burger and Beer of Holly Springs,301 MATTHEWS DR,,HOLLY SPRINGS,NC,27540,,2019/10/30 04:00:00+00,Restaurant,6997,-78.79440661,35.66435998,M
2025870,04092021997,H Mart Seafood Department,1961 High House RD ,,CARY,NC,27519,(919) 535-5900,2016/12/22 05:00:00+00,Food Stand,6998,-78.84865444,35.78921622,M
2025871,04092110097,Davis Drive Middle Sch. Cafeteria,2101 DAVIS DR,,CARY,NC,27519-9276,(919) 387-3038,1995/05/01 04:00:00+00,Public School Lunchrooms,7004,-78.85122421,35.77868872,M
2025872,04092021401,Harris Teeter #283 Meat/Seafood,8101 Fayetteville RD ,,FUQUAY VARINA ,NC,27603,(919) 772-0241,2006/08/16 04:00:00+00,Food Stand,6988,-78.70123204,35.66365888,M
2025873,04092110105,Jones Dairy Elem. Sch. Cafeteria,1100 JONES DAIRY RD ,,WAKE FOREST,NC,27587-9055,(919) 562-6181 ext. 23998,1996/08/22 04:00:00+00,Public School Lunchrooms,7026,-78.47194576,35.94971409,M
2025874,04092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 04:00:00+00,Restaurant,7032,-78.70472608,35.86043731,M
2025875,04092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3491 ext. 26939,1991/09/16 04:00:00+00,Public School Lunchrooms,7034,-78.7896079,35.79556729,M
2025876,04092011192,Subway #12044,235 TIMBER DR,,GARNER,NC,27529-4870,(919) 779-6820,1992/12/01 05:00:00+00,Restaurant,7057,-78.60613102,35.68500723,M
2025877,04092011321,AMF South Hills Snack Bar,301 NOTTINGHAM DR,,CARY,NC,27511-4947,(919) 467-2411,1993/07/30 04:00:00+00,Restaurant,7060,-78.74288458,35.76720276,M
2025878,04092015601,STAMMTISCH CAFE,215 GREGSON DR ,,CARY,NC,27511,(919) 461-6033,2010/03/26 04:00:00+00,Restaurant,7093,-78.80332985,35.73531293,M
2025879,04092015793,TENKO JAPAN,4040 ED  DR ,#121,RALEIGH,NC,27612,(919) 781-5181,2011/08/25 04:00:00+00,Restaurant,7100,-78.70319672,35.82518153,M
2025880,04092110062,Knightdale Elem. Sch. Cafeteria,109 RIDGE ST ,,KNIGHTDALE,NC,27545-8996,(919) 266-8540 ext. 21663,1991/10/16 04:00:00+00,Public School Lunchrooms,7111,-78.4779126,35.78387328,M
2025881,04092110015,Enloe High School Cafeteria,128 CLARENDON CRES ,,RALEIGH,NC,27610-2408,(919) 856-7918 ext. 24684,1991/10/28 04:00:00+00,Public School Lunchrooms,7114,-78.60333819,35.78424685,M
2025882,04092110077,Zebulon Elem. School Cafeteria,700 PROCTOR ST ,,ZEBULON,NC,27597-8726,(919) 404-3680 ext. 21213,1991/10/28 04:00:00+00,Public School Lunchrooms,7116,-78.31958692,35.83895372,M
2025883,04092018141,Sheetz,13401 FALLS OF NEUSE RD,,RALEIGH,NC,27614,(919) 554-8858,2019/07/22 04:00:00+00,Restaurant,7125,-78.55932262,35.9435196,M
2025884,04092014483,Tacos Mexico,1430 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 557-1777,2005/12/08 05:00:00+00,Restaurant,7150,-78.77067049,35.59261337,M
2025885,04092017098,ARBY'S #179,3415 Hillsborough ST ,,RALEIGH,NC,27607,(919) 828-1850,2015/12/08 05:00:00+00,Restaurant,7155,-78.68403942,35.79221151,T
2025886,04092016674,TAQUERIA LA ESQUINA,10500 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 600-0870,2014/04/25 04:00:00+00,Restaurant,7157,-78.83168895,35.84049229,M
2025887,04092016372,ORCHID JAPANESE RESTAURANT,7432 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 890-5345,2013/02/13 05:00:00+00,Restaurant,7161,-78.67820041,35.88787167,M
2025888,04092300004,Larry's Supermarket - Meat Market,2041 MILBURNIE RD ,,RALEIGH,NC,27610-2211,(919) 834-0152,1991/12/05 05:00:00+00,Meat Market,7163,-78.6129263,35.78878222,M
2025889,04092018259,Las Marias Tacos Y Pupusas Restaurant ,1600 Ronald DR ,STE 107,RALEIGH,NC,27609,(919) 977-8149,2019/12/10 05:00:00+00,Restaurant,7176,-78.61019076,35.83816392,M
2025890,04092013054,PNC 103-105,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,7186,-78.7229363,35.8032419,M
2025891,04092013070,Jersey Mikes Restaurant,4542 Capital BLVD ,,RALEIGH,NC,27604-4353,(919) 790-7827,1999/11/17 05:00:00+00,Restaurant,7188,-78.57896604,35.84571366,M
2025892,04092012120,Second Empire at Dodd-Hinsdale,330 HILLSBOROUGH ST ,,RALEIGH,NC,27603-1726,(919) 829-3663,1997/09/05 04:00:00+00,Restaurant,7198,-78.64468913,35.78102197,M
2025893,04092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD ,,ZEBULON,NC,27597-2770,(919) 404-3630 ext. 21113,1991/10/28 04:00:00+00,Public School Lunchrooms,7212,-78.31172209,35.83148192,M
2025894,04092300140,Whole Foods Market Meat Market,102 B New Waverly Pl ,,CARY,NC,27511,(816) 883-0,2000/05/09 04:00:00+00,Meat Market,7243,0,0,U
2025895,04092017487,JOHNNY'S PIZZA,96 CORNERSTONE DR ,,CARY,NC,27519,(919) 460-5566,2016/12/02 05:00:00+00,Restaurant,7265,-78.85232757,35.79108879,M
2025896,04092015787,STARBUCKS NORTH HILLS CENTER #9789,4160 MAIN AT NORTH HILLS ST ,,RALEIGH,NC,27609,(919) 420-0514,2011/08/12 04:00:00+00,Restaurant,7266,-78.64323049,35.83718561,M
2025897,04092010989,Los Tres Magueyes,110 SW MAYNARD RD ,,CARY,NC,27511-4402,(919) 460-8757,1992/01/16 05:00:00+00,Restaurant,7272,-78.78312573,35.77217563,M
2025898,04092017477,HARRIS TEETER #283 STARBUCKS,8101 FAYETTEVILLE RD ,,FUQUAY VARINA,NC,27526,(919) 772-0241,2016/12/09 05:00:00+00,Restaurant,7267,0,0,U
2025899,04092110103,Holly Springs Elem. Cafeteria,401 HOLLY SPRINGS RD,,HOLLY SPRINGS,NC,27540-9027,(919) 557-2660 ext. 21964,1996/08/19 04:00:00+00,Public School Lunchrooms,7288,-78.8283606,35.65622509,M
2025900,04092010556,Piccola Italia,423 WOODBURN RD,,RALEIGH,NC,27605-1323,(919) 833-6888,1991/03/19 04:00:00+00,Restaurant,7295,-78.66025735,35.7899673,M
2025901,04092021384,Harris Teeter #344 Produce,6024 Falls of Neuse RD,,RALEIGH,NC,27609,(919) 872-5786,2006/04/10 04:00:00+00,Food Stand,7304,-78.6187408,35.86627943,M
2025902,04092010975,Cup A Joe,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 04:00:00+00,Restaurant,7319,-78.67755439,35.7900473,M
2025903,04092011062,Char-Grill,4617 Atlantic Ave,,RALEIGH,NC,27604-8103,(919) 954-9556,1992/03/10 04:00:00+00,Restaurant,7327,-78.60292943,35.84801871,M
2025904,04092021298,Super Target #1932 (Deli & Starbucks),1201 Beaver Creek Commons Dr ,,APEX,NC,27502,(919) 372-1405,2004/11/05 04:00:00+00,Food Stand,7341,-78.87777438,35.74487977,M
2025905,04092018043,Terrace Cafe SAS Building A,920 SAS Campus DR ,,Cary,NC,27513,,2019/01/25 05:00:00+00,Restaurant,7395,-78.7476237,35.81616993,M
2025906,04092021880,FOOD LION #341 PRODUCE,114 WAKELON ST ,,ZEBULON,NC,27597,(919) 269-6122,2015/09/16 04:00:00+00,Food Stand,7414,-78.31858381,35.83228812,M
2025907,04092021878,FOOD LION #247 PRODUCE,4510 CAPITAL BLVD ,,RALEIGH,NC,28145,(919) 876-8126,2015/09/18 04:00:00+00,Food Stand,7415,-78.57896604,35.84571366,M
2025908,04092021877,FOOD LION #1557 PRODUCE,4827 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 781-4437,2015/09/17 04:00:00+00,Food Stand,7416,-78.71866323,35.869194,M
2025909,04092011708,Korner Pocket,8508 CAPITAL BLVD,,RALEIGH,NC,27616-3150,(919) 876-9879,1995/07/14 04:00:00+00,Restaurant,7451,-78.55805315,35.89527884,M
2025910,04092021876,FOOD LION #2196 PRODUCE,3609 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 469-4195,2015/09/16 04:00:00+00,Food Stand,7457,-78.84918533,35.82217686,M
2025911,04092015713,WING STOP # 527,1721-112 NEW HOPE CHURCH RD ,,RALEIGH,NC,27609,(919) 872-8856,2010/09/13 04:00:00+00,Restaurant,7417,-78.61222144,35.83674654,M
2025912,04092014176,Los Cuates Mexican Restaurant,4524 Old Wake Forest RD ,,RALEIGH,NC,27609,(919) 872-6012,2004/11/12 05:00:00+00,Restaurant,7474,-78.6099575,35.84195384,M
